"Schaefer2018_800Parcels_7Networks_order_FSLMNI152_1mm","Schaefer7_800"
"region","label"
1,"7Networks_LH_Vis_1"
2,"7Networks_LH_Vis_2"
3,"7Networks_LH_Vis_3"
4,"7Networks_LH_Vis_4"
5,"7Networks_LH_Vis_5"
6,"7Networks_LH_Vis_6"
7,"7Networks_LH_Vis_7"
8,"7Networks_LH_Vis_8"
9,"7Networks_LH_Vis_9"
10,"7Networks_LH_Vis_10"
11,"7Networks_LH_Vis_11"
12,"7Networks_LH_Vis_12"
13,"7Networks_LH_Vis_13"
14,"7Networks_LH_Vis_14"
15,"7Networks_LH_Vis_15"
16,"7Networks_LH_Vis_16"
17,"7Networks_LH_Vis_17"
18,"7Networks_LH_Vis_18"
19,"7Networks_LH_Vis_19"
20,"7Networks_LH_Vis_20"
21,"7Networks_LH_Vis_21"
22,"7Networks_LH_Vis_22"
23,"7Networks_LH_Vis_23"
24,"7Networks_LH_Vis_24"
25,"7Networks_LH_Vis_25"
26,"7Networks_LH_Vis_26"
27,"7Networks_LH_Vis_27"
28,"7Networks_LH_Vis_28"
29,"7Networks_LH_Vis_29"
30,"7Networks_LH_Vis_30"
31,"7Networks_LH_Vis_31"
32,"7Networks_LH_Vis_32"
33,"7Networks_LH_Vis_33"
34,"7Networks_LH_Vis_34"
35,"7Networks_LH_Vis_35"
36,"7Networks_LH_Vis_36"
37,"7Networks_LH_Vis_37"
38,"7Networks_LH_Vis_38"
39,"7Networks_LH_Vis_39"
40,"7Networks_LH_Vis_40"
41,"7Networks_LH_Vis_41"
42,"7Networks_LH_Vis_42"
43,"7Networks_LH_Vis_43"
44,"7Networks_LH_Vis_44"
45,"7Networks_LH_Vis_45"
46,"7Networks_LH_Vis_46"
47,"7Networks_LH_Vis_47"
48,"7Networks_LH_Vis_48"
49,"7Networks_LH_Vis_49"
50,"7Networks_LH_Vis_50"
51,"7Networks_LH_Vis_51"
52,"7Networks_LH_Vis_52"
53,"7Networks_LH_Vis_53"
54,"7Networks_LH_Vis_54"
55,"7Networks_LH_Vis_55"
56,"7Networks_LH_Vis_56"
57,"7Networks_LH_Vis_57"
58,"7Networks_LH_Vis_58"
59,"7Networks_LH_Vis_59"
60,"7Networks_LH_Vis_60"
61,"7Networks_LH_Vis_61"
62,"7Networks_LH_Vis_62"
63,"7Networks_LH_Vis_63"
64,"7Networks_LH_Vis_64"
65,"7Networks_LH_Vis_65"
66,"7Networks_LH_Vis_66"
67,"7Networks_LH_Vis_67"
68,"7Networks_LH_SomMot_1"
69,"7Networks_LH_SomMot_2"
70,"7Networks_LH_SomMot_3"
71,"7Networks_LH_SomMot_4"
72,"7Networks_LH_SomMot_5"
73,"7Networks_LH_SomMot_6"
74,"7Networks_LH_SomMot_7"
75,"7Networks_LH_SomMot_8"
76,"7Networks_LH_SomMot_9"
77,"7Networks_LH_SomMot_10"
78,"7Networks_LH_SomMot_11"
79,"7Networks_LH_SomMot_12"
80,"7Networks_LH_SomMot_13"
81,"7Networks_LH_SomMot_14"
82,"7Networks_LH_SomMot_15"
